Mon May 30 14:42:21 2022    profile.prof

         882669 function calls (823570 primitive calls) in 4.464 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1630    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\framework\dtypes.py:260(__eq__)
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
      221    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     1472    0.001    0.000    0.004    0.000 {built-in method builtins.any}
      168    0.001    0.000    0.001    0.000 =\lib\threading.py:216(__init__)
     1208    0.001    0.000    0.008    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:6319(__enter__)
     4062    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2620    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:673(scope_name)
      396    0.001    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:4044(name_scope)
      649    0.001    0.000    0.002    0.000 =\lib\site-packages\gast\gast.py:8(create_node)
      588    0.001    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\eager\backprop.py:100(get_attr)
3453/2921    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\qual_names.py:159(__hash__)
      770    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     2103    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:5279(get_default)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      993    0.001    0.000    0.005    0.000 =\lib\_collections_abc.py:657(get)
        1    0.001    0.001    4.466    4.466 C:/Users/Danish Amin/PycharmProjects/TF-NLP/train.py:140(train)
      194    0.001    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.TF_NewOperation}
     4525    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      520    0.001    0.000    0.118    0.000 =\lib\site-packages\tensorflow_core\python\ops\gen_math_ops.py:6553(mat_mul)
   396/18    0.001    0.000    0.005    0.000 =\lib\site-packages\gast\astn.py:17(generic_visit)
      514    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\util\object_identity.py:160(__init__)
      769    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     2101    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      396    0.001    0.000    0.031    0.000 =\lib\site-packages\tensorflow_core\python\util\tf_inspect.py:238(getfullargspec)
     1168    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\util\tf_decorator.py:200(unwrap)
      225    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      164    0.001    0.000    0.055    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:3315(create_op)
      528    0.001    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_NewBuffer}
      850    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\anno.py:116(setanno)
     1625    0.001    0.000    0.006    0.000 {built-in method builtins.all}
       46    0.001    0.000    0.006    0.000 =\lib\site-packages\tensorflow_core\python\ops\distributions\distribution.py:146(__new__)
      164    0.001    0.000    0.006    0.000 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:53(get_resource_handle_data)
     2308    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\util\compat.py:74(as_text)
      328    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:4713(_attr_scope)
      282    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\util\nest.py:118(_sequence_like)
      537    0.001    0.000    0.005    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:1030(shape)
   640/57    0.001    0.000    0.003    0.000 =\lib\ast.py:273(generic_visit)
       40    0.001    0.000    0.050    0.001 =\lib\site-packages\tensorflow_core\python\eager\function.py:1143(_call_flat)
      881    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      764    0.001    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:5545(init_scope)
      404    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:1502(__enter__)
     8214    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
      881    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
      194    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:3014(_add_op)
      164    0.001    0.000    2.771    0.017 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:181(eager_safe_variable_handle)
      180    0.001    0.000    0.202    0.001 =\lib\site-packages\tensorflow_core\python\ops\nn_ops.py:2685(bias_add)
      640    0.001    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\framework\dtypes.py:144(is_floating)
     2466    0.001    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\pywrap_tensorflow_internal.py:2623(Flatten)
     2307    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       29    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\op_def_registry.py:28(register_op_list)
      972    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\framework\registry.py:82(lookup)
      512    0.001    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\keras\utils\tf_utils.py:322(is_symbolic_tensor)
      588    0.001    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\distribute\distribution_strategy_context.py:78(_get_per_thread_mode)
  332/168    0.001    0.000    2.855    0.017 =\lib\site-packages\tensorflow_core\python\ops\variables.py:256(__call__)
      404    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:1536(__exit__)
      144    0.001    0.000    0.377    0.003 =\lib\site-packages\tensorflow_core\python\ops\variable_scope.py:2522(default_variable_creator_v2)
      337    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
      977    0.001    0.000    0.006    0.000 =\lib\site-packages\tensorflow_core\python\tf2.py:43(enabled)
      992    0.001    0.000    0.006    0.000 =\lib\os.py:772(getenv)
      192    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:4556(_control_dependencies_for_inputs)
      664    0.001    0.000    0.006    0.000 =\lib\re.py:273(_compile)
     2291    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1896    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\dtypes.py:100(base_dtype)
      842    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
    60/23    0.001    0.000    0.002    0.000 =\lib\sre_parse.py:469(_parse)
     1465    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\anno.py:104(getanno)
      586    0.001    0.000    0.012    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:1141(convert_to_tensor)
      769    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      364    0.001    0.000    0.016    0.000 =\lib\site-packages\tensorflow_core\python\util\deprecation.py:46(_add_deprecated_function_notice_to_docstring)
      778    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      101    0.001    0.000    0.010    0.000 =\lib\site-packages\tensorflow_core\python\util\all_util.py:30(make_all)
     2854    0.001    0.000    0.001    0.000 =\lib\inspect.py:2799(<genexpr>)
      966    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
      117    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\framework\registry.py:44(register)
     1540    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:403(cached)
      164    0.001    0.000    0.001    0.000 {built-in method FromString}
     1095    0.001    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\framework\tensor_shape.py:702(as_dimension)
      409    0.001    0.000    0.007    0.000 =\lib\site-packages\tensorflow_core\python\util\tf_stack.py:139(extract_stack)
      392    0.001    0.000    0.007    0.000 =\lib\site-packages\tensorflow_core\python\framework\c_api_util.py:176(tf_output)
     1543    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      180    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\tensor_shape.py:1180(<listcomp>)
      770    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     2866    0.001    0.000    0.001    0.000 =\lib\enum.py:531(__new__)
        2    0.001    0.000    0.001    0.000 {built-in method nt.open}
      156    0.001    0.000    0.011    0.000 =\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
      176    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:5931(_get_graph_from_inputs)
      168    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\util\lock_util.py:54(__init__)
        4    0.001    0.000    0.188    0.047 =\lib\site-packages\tensorflow_core\python\keras\optimizer_v2\optimizer_v2.py:441(_distributed_apply)
      440    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\keras\engine\base_layer.py:2001(_call_arg_was_passed)
       40    0.001    0.000    0.030    0.001 =\lib\site-packages\tensorflow_core\python\eager\function.py:471(call)
      770    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      392    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\pywrap_tensorflow_internal.py:62(_swig_getattr_nondynamic)
     1370    0.001    0.000    0.001    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
      180    0.001    0.000    0.073    0.000 =\lib\site-packages\tensorflow_core\python\ops\math_grad.py:1566(_MatMulGrad)
      164    0.001    0.000    0.008    0.000 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:97(_combine_handle_data)
      510    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:214(push)
      734    0.001    0.000    0.001    0.000 =\lib\weakref.py:432(get)
       83    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\op_def_library.py:235(__init__)
      164    0.001    0.000    2.851    0.017 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:1307(__init__)
      547    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\util\tf_decorator.py:236(__init__)
     1363    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      771    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     1106    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      510    0.001    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:1641(graph_mode)
  294/252    0.001    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\training\tracking\layer_utils.py:42(filter_empty_layer_containers)
      196    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:370(__init__)
      430    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
     2347    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
      192    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:1816(_reconstruct_sequence_inputs)
      692    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:5296(get_controller)
      168    0.001    0.000    0.001    0.000 =\lib\threading.py:75(RLock)
      220    0.001    0.000    0.005    0.000 =\lib\site-packages\tensorflow_core\python\keras\engine\base_layer.py:1987(_collect_input_masks)
   641/11    0.001    0.000    0.008    0.001 =\lib\site-packages\tensorflow_core\python\autograph\pyct\static_analysis\liveness.py:160(visit)
  734/732    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\training\tracking\tracking.py:380(wrapped)
     1740    0.001    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\pywrap_tensorflow_internal.py:58(_swig_setattr)
        1    0.001    0.001    0.628    0.628 =\lib\site-packages\tensorflow_core\python\autograph\pyct\inspect_utils.py:96(_fix_linecache_record)
